,alg_type,env_name,gae_lambda,ent_coef,actor_lr,critic_lr,percentile_normalized_return,mean_return
191,advn_norm_ema,ant,0.5,0.1,1e-05,0.001,0.5726889293498141,-13.355764296983498
192,advn_norm_ema,ant,0.5,0.1,1e-05,0.01,0.5276330336323021,-16.17518379710785
193,advn_norm_ema,ant,0.5,0.1,1e-05,0.1,0.5049918187945026,-17.591981346099548
194,advn_norm_ema,ant,0.5,0.1,0.0001,1e-05,0.11930200707637159,-41.72692215329642
195,advn_norm_ema,ant,0.5,0.1,0.0001,0.0001,0.18842379211863947,-37.40155461752622
196,advn_norm_ema,ant,0.5,0.1,0.0001,0.001,0.190100921095854,-37.29660652877378
197,advn_norm_ema,ant,0.5,0.1,0.0001,0.01,0.17709869903486036,-38.110234087163754
198,advn_norm_ema,ant,0.5,0.1,0.0001,0.1,0.13234260902373532,-40.91089293362947
199,advn_norm_ema,ant,0.5,0.1,0.001,0.1,0.04024061556720607,-46.67427089374702
200,advn_norm_ema,ant,0.5,1.0,1e-05,1e-05,0.4825311211592511,-18.99748284353425
201,advn_norm_ema,ant,0.5,1.0,1e-05,0.0001,0.5275744957696515,-16.17884686470032
202,advn_norm_ema,ant,0.5,1.0,1e-05,0.001,0.5325672659516124,-15.866419081687928
203,advn_norm_ema,ant,0.5,1.0,1e-05,0.01,0.500588811238376,-17.867504119873047
204,advn_norm_ema,ant,0.5,1.0,1e-05,0.1,0.46942809942882846,-19.81741804599762
205,advn_norm_ema,ant,0.5,1.0,0.0001,1e-05,0.07161350907134473,-44.71107947756764
206,advn_norm_ema,ant,0.5,1.0,0.0001,0.0001,0.08902105868451843,-43.621783969240006
207,advn_norm_ema,ant,0.5,1.0,0.0001,0.001,0.11018651185477393,-42.2973337403215
208,advn_norm_ema,ant,0.5,1.0,0.0001,0.01,0.10903876949925842,-42.36915491104126
209,advn_norm_ema,ant,0.5,1.0,0.0001,0.1,0.08720480628146636,-43.735437850952145
210,advn_norm_ema,ant,0.5,10.0,1e-05,1e-05,0.4635613525823532,-20.18453582709672
211,advn_norm_ema,ant,0.5,10.0,1e-05,0.0001,0.5103923333658035,-17.25403853416443
212,advn_norm_ema,ant,0.5,10.0,1e-05,0.001,0.5083713878697459,-17.38050129890442
213,advn_norm_ema,ant,0.5,10.0,1e-05,0.01,0.47029216224487386,-19.763348417282103
214,advn_norm_ema,ant,0.5,10.0,1e-05,0.1,0.45102336529745735,-20.969113411903383
215,advn_norm_ema,ant,0.5,10.0,0.0001,1e-05,0.06927039883253724,-44.857702035903934
216,advn_norm_ema,ant,0.5,10.0,0.0001,0.0001,0.07138880304531137,-44.7251406906787
217,advn_norm_ema,ant,0.5,10.0,0.0001,0.001,0.09399883950911336,-43.31029416084289
218,advn_norm_ema,ant,0.5,10.0,0.0001,0.01,0.10155236695789308,-42.83762433052063
219,advn_norm_ema,ant,0.5,10.0,0.0001,0.1,0.07188856908294934,-44.69386731147766
220,advn_norm_ema,ant,0.7,0.001,1e-05,1e-05,0.6159255462084308,-10.65018806219101
221,advn_norm_ema,ant,0.7,0.001,1e-05,0.0001,0.6877686655672071,-6.154530203342437
222,advn_norm_ema,ant,0.7,0.001,1e-05,0.001,0.6984166651545164,-5.488220562934876
223,advn_norm_ema,ant,0.7,0.001,1e-05,0.01,0.6003688878595603,-11.6236621260643
224,advn_norm_ema,ant,0.7,0.001,1e-05,0.1,0.6179194054795882,-10.525420246124268
225,advn_norm_ema,ant,0.7,0.001,0.0001,1e-05,0.9404299277238012,9.656010861396789
226,advn_norm_ema,ant,0.7,0.001,0.0001,0.0001,1.3372527904878178,34.487613908124935
227,advn_norm_ema,ant,0.7,0.001,0.0001,0.001,1.1927534595602471,25.445418100357056
228,advn_norm_ema,ant,0.7,0.001,0.0001,0.01,1.030789980524505,15.310385074615478
